epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2165.18,1.14372,0.75641,1.23118,0.85184,0.74353,0.82343,0.48815,1.37367,0.89964,1.39241,0.0090958,0.0090958,0.0090958
139,2181.47,1.11087,0.739,1.22257,0.85601,0.72688,0.82137,0.48346,1.37651,0.9022,1.38707,0.0090892,0.0090892,0.0090892
140,2197.44,1.13742,0.75189,1.22,0.86531,0.71329,0.81578,0.48454,1.36933,0.9388,1.39328,0.0090826,0.0090826,0.0090826
141,2212.37,1.14339,0.76571,1.2414,0.84499,0.74004,0.81955,0.47661,1.39354,0.91608,1.39976,0.009076,0.009076,0.009076
142,2228.33,1.14436,0.75896,1.22492,0.8591,0.7321,0.82567,0.49065,1.37455,0.90402,1.39096,0.0090694,0.0090694,0.0090694
143,2242.93,1.13462,0.74693,1.23315,0.85655,0.7312,0.82136,0.48479,1.39125,0.91941,1.40538,0.0090628,0.0090628,0.0090628
144,2257.79,1.14503,0.75305,1.22538,0.84442,0.73334,0.8218,0.49224,1.35878,0.92172,1.39172,0.0090562,0.0090562,0.0090562
145,2273.84,1.11725,0.7345,1.21309,0.8575,0.73266,0.81916,0.48975,1.36533,0.90616,1.39095,0.0090496,0.0090496,0.0090496
146,2289.01,1.13139,0.75464,1.22283,0.85515,0.72831,0.82031,0.49353,1.37741,0.91241,1.3837,0.009043,0.009043,0.009043
147,2303.9,1.13762,0.74891,1.22959,0.8458,0.73971,0.82081,0.49338,1.36741,0.9102,1.38353,0.0090364,0.0090364,0.0090364
148,2318.78,1.13067,0.7426,1.22258,0.83622,0.72645,0.81584,0.48199,1.37653,0.93152,1.39012,0.0090298,0.0090298,0.0090298
149,2334.26,1.11325,0.7353,1.23392,0.86767,0.72473,0.82198,0.48617,1.38288,0.91124,1.38653,0.0090232,0.0090232,0.0090232
150,2350.52,1.11919,0.73807,1.21869,0.85201,0.72618,0.81988,0.48476,1.37716,0.90475,1.38296,0.0090166,0.0090166,0.0090166
151,2366.28,1.12678,0.73653,1.22398,0.85567,0.72814,0.82001,0.48115,1.38932,0.90122,1.38498,0.00901,0.00901,0.00901
152,2381.89,1.15677,0.75933,1.23526,0.84045,0.7322,0.82151,0.49647,1.34502,0.90383,1.37045,0.0090034,0.0090034,0.0090034
153,2397.66,1.12686,0.7469,1.23554,0.85356,0.72749,0.82013,0.48435,1.37901,0.90149,1.379,0.0089968,0.0089968,0.0089968
154,2413.53,1.1373,0.74472,1.22353,0.86014,0.73097,0.82174,0.49296,1.35537,0.9079,1.38528,0.0089902,0.0089902,0.0089902
155,2427.32,1.09969,0.7207,1.20293,0.85723,0.7356,0.8226,0.49472,1.34419,0.89992,1.36924,0.0089836,0.0089836,0.0089836
156,2443.58,1.07577,0.6983,1.19501,0.84468,0.73457,0.81842,0.48427,1.36092,0.91385,1.37136,0.008977,0.008977,0.008977
157,2459.67,1.08726,0.72676,1.20759,0.83625,0.75144,0.82671,0.49656,1.34176,0.89754,1.36837,0.0089704,0.0089704,0.0089704
158,2474.97,1.1343,0.74542,1.23051,0.83668,0.74673,0.82453,0.49232,1.3496,0.88917,1.36863,0.0089638,0.0089638,0.0089638
159,2490.09,1.12552,0.72092,1.21769,0.84197,0.739,0.82423,0.49832,1.33911,0.89772,1.37153,0.0089572,0.0089572,0.0089572
160,2504.62,1.10301,0.72678,1.22346,0.84951,0.74446,0.82509,0.50179,1.33247,0.87498,1.35117,0.0089506,0.0089506,0.0089506
161,2521.03,1.09896,0.71568,1.20456,0.84717,0.7465,0.82912,0.50394,1.33329,0.87043,1.35928,0.008944,0.008944,0.008944
162,2537,1.11984,0.74171,1.22282,0.84236,0.74224,0.82618,0.49411,1.35565,0.8741,1.36885,0.0089374,0.0089374,0.0089374
163,2551.47,1.10983,0.73053,1.21704,0.85145,0.74351,0.82803,0.49784,1.34902,0.88258,1.3721,0.0089308,0.0089308,0.0089308
164,2565.96,1.12445,0.72664,1.21295,0.84941,0.73096,0.82295,0.49845,1.3574,0.89019,1.38454,0.0089242,0.0089242,0.0089242
165,2581.24,1.14174,0.74895,1.22079,0.85529,0.73077,0.82429,0.49782,1.35434,0.89415,1.37296,0.0089176,0.0089176,0.0089176
166,2597.73,1.09233,0.70781,1.19784,0.8495,0.74036,0.82514,0.49932,1.34572,0.87978,1.36649,0.008911,0.008911,0.008911
167,2613.73,1.11986,0.7318,1.21003,0.85012,0.74471,0.82356,0.49439,1.34994,0.89114,1.36366,0.0089044,0.0089044,0.0089044
168,2629.76,1.10201,0.7116,1.19696,0.85581,0.74557,0.82446,0.48362,1.38746,0.87704,1.37983,0.0088978,0.0088978,0.0088978
169,2645.26,1.07187,0.69027,1.18601,0.84361,0.74168,0.8218,0.48572,1.37131,0.89392,1.36601,0.0088912,0.0088912,0.0088912
170,2662.06,1.09343,0.71805,1.20973,0.84615,0.73515,0.82122,0.50193,1.33042,0.88894,1.35109,0.0088846,0.0088846,0.0088846
171,2676.14,1.09139,0.7088,1.19857,0.86259,0.73402,0.82535,0.50395,1.33227,0.87831,1.36792,0.008878,0.008878,0.008878
172,2692.62,1.0585,0.70232,1.20054,0.8281,0.74342,0.81974,0.49228,1.35313,0.91953,1.36515,0.0088714,0.0088714,0.0088714
173,2709.22,1.07913,0.69956,1.1931,0.85154,0.74241,0.82647,0.50409,1.31305,0.87871,1.34898,0.0088648,0.0088648,0.0088648
174,2725.33,1.09763,0.72221,1.18879,0.84798,0.73936,0.82017,0.50095,1.33437,0.88323,1.36159,0.0088582,0.0088582,0.0088582
175,2740.81,1.12299,0.72597,1.20999,0.85266,0.73771,0.81948,0.49575,1.3484,0.88364,1.36197,0.0088516,0.0088516,0.0088516
176,2756.24,1.1078,0.72065,1.20222,0.8517,0.7487,0.82829,0.50439,1.32657,0.86652,1.35136,0.008845,0.008845,0.008845
177,2771.33,1.10147,0.72205,1.19641,0.85508,0.74367,0.82908,0.50278,1.33292,0.8866,1.35532,0.0088384,0.0088384,0.0088384
178,2787.87,1.09355,0.70233,1.18818,0.85212,0.74292,0.82633,0.50478,1.31886,0.87004,1.34656,0.0088318,0.0088318,0.0088318
